SourateID,Sourate,VerseID,Verse
2,NAG WA,62,"Ña gëm ak ña di Yaxuud, aki Nasraan, aki Saabiina, ku ca settantal ba dëddu la mu jàppoon, gëm Yàlla ak Bis-pénc ba, gëm Muxammad tey jëf lu yiw, danañu fekk seen pey ca Yàlla ; te duñu tiit te duñu jàq."
2,NAG WA,63,"[Fàttalikuleen], ba ñu jà ppee seen kóllare te ñu yékkati doj wa mu tiim leen, te Ma neleen : " Jàppleen li Ma leen jox ànd ca ak dëgg te na ngeen màggal li ne [ca Téere ba] ndax Yàlla ngeen ragal seen Boroom ! ""
2,NAG WA,64,"Topp, ngeen dëddu ginnaaw loolu, bu dul koon xéewali Yàlla ci yéen ak yërmaandeem, kon dangeen bokk ca way-yàqule ña."
2,NAG WA,65,"Wallaaxi xam ngeen ña jalgati woon ci yéen ca Gaawu ba. Tax ñoom ñooñu ñu neleen : " Nekkleen di ay golo yu ñu beddi ! ""
2,NAG WA,66,"ñu def ko muy mbugal, mu nekk luy waar ñi teew ak ñay ñëwi ca seen ginnaaw te di waaraateb way-gëm ña."
2,NAG WA,67,"Te Fàttalikuleen, ba Muusaa waxee aw nitam : " Yàlla digal na leen ngeen reyu nag ". Ñu ne ko : " Moo ndax danga ñuy ñaawal ? ". Mu ne : " Yàlla na ma Yàlla musal ci bokk ci way-réer ña "."
2,NAG WA,68,"Ñu ne : " Ñaanal ñu sa Boroom mu leeral ñu luy meloom ". - Mu ne : " Naka Moom nee na : nag wa du wu màggat, du aw sëll, dafa digg-dóomu. Def leen li ñu leen sant "."
2,NAG WA,69,"- Ñu ne : " Ñaanal ñu sa Boroom mu leeral ñu luy mel oom ". - Mu ne : " Naka Moom nee na: nag la wu gel, wu fees, woo xam ne dees na beg ci xool ko. "."
2,NAG WA,70,"- Ñu ne : " Laajal ñu sa Boroom mu leeral ñu ñu mu mel, ndax nag yi dañoo bari ci ñun. Te bu soobe Yàlla danañu gindiku [Jëfe ndigalam] "."
2,NAG WA,71,"– Mu ne moom nag : " Nee na, nag la wu ñu bayloowul suuf si, du buy suuxat mbay, bu amul benn laago la te wenn melo la ". - Ñu ne ko : " Agsi nga ci dëgg gi! " Ñu rendi ko te xawoon nañu koo baña def."
2,NAG WA,72,"[Fàttalikuleen] Ba ngeen reyee bakkan te ngeen jiiñante ko! Te Yàlla génne la ngeen doon nëbb."
2,NAG WA,73,"ñu ne : " Dóorleen ko lenn Lu bokk ci nag wi ". - Noonu la Yàllay dekkalee ñi dee te danaleen won ay kéemaan ndax ngeen xel-lu."
2,NAG WA,74,"Topp, seeni xol wow ginnaaw loolu [dëgër] ba mel ni xeer mbaa lu ko gëna tar wowa ay ; Ndax ci xeer sax ndox dana ca ball, te amna ci xeer yi yuy xar ndox génn ca, amna ci yuy rot ngir ragal Yàlla. Te Yàlla du ñàkka seetlu li ngeen di def."
2,NAG WA,75,"- Moo ndax, dangeen xeemeem yéen jullit ñi, Yaxuud yi wóolu leen? Te amna ci ñoom kurél boo xam ne déggoon nañu waxi Yàlla, ba noppi soppi ko ginnaw ba ñu ca xalaatee ba xam ko."
2,NAG WA,76,"- Bu ñu dajeek ñu gëm, ne : " Gëm nañu " ; te bu ñu wéetee ñoom doŋŋ, naan : " Ndax dungeen waxtaane li leen Yàlla xamal, ñu mën caa sukkandiku [ñoom jullit yi] di dàggeek yéen ci seeni [mbiri] Boroom ! Moo ndax dangeen dul xel-lu ? "."
2,NAG WA,77,"- Moo ndax dañoo xamul ne Yàlla xam na la ñuy nëbb ak la ñuy feeñal ?"
2,NAG WA,78,"Amna ca ñoo xam ne mënuñoo jàng, xamuñu téere ba ludul ay fen yu nekk ay njort doŋŋ."
2,NAG WA,79,"Alkaande ñeel na ñay bind téere ba, ba noppi naan lii ca Yàlla la jóge ndax mën caa jële njëg gu néew ! - Alkaande ñeel na leen ngir la ca seeni yoxo bind, ñeel na leen ngir lañu ca fàggu [ci alal] !"
2,NAG WA,80,"Wax nañu ne : " Safara duñu laal ludul ay bis yu ñuy waññi ! ". Neeleen : " Moo ndax dangeen cee déggook Yàlla - te Yàlla du wuute ab digam ; - walla dangeen di wax ci Yàlla lu ngeen xamul "."
2,NAG WA,81,"Axakay ! Ku def jëf ju bon ba ay ñaawtéefam mëdd ko, ñooña ñooy ñay dëkk Safara te dañu fay béel."
2,NAG WA,82,"Waaye ñi gëm tey def jëf yu sell, ñooña ñoo di ñay dugg Àjjana dañu fay béel."
2,NAG WA,83,"Te Fàttalikul, ba ñu wóllaranteek Banii-Israayiil neleen : buleen jaamu kenn kudul Yàlla, te nangeen rafetal seeni jëf jëme ci seeni ñaari waajur, seeni jegeñaale, jirim yi, way-ñàkk ñi, te ngeen waxal nit ñi wax ju rafet ; ngeen fonk julli te génne asaka, ba noppi ngeen dummóoyu ! - Ba mu des ñu néew ci yéen, ngeen di way-dëddu [lu baax]."
2,NAG WA,84,"Te Fàttalikuleen, ba ñu wóllaranteek yéen ne buleen tuur seeni deret, buleen génneyante ci seeni kër. Ngeen nangu te seede ko."
2,NAG WA,85,"Ba noppi ngeen rey aw nit, ci seen biir, am ca ab kurél bu ngeen génne seeni kër, ngeen dimbalante ci ay bàkkaar ak ug noonuwante. Te bi ngeen leen jàppee ci xare di leen fayloo ag njot te di leen génne te loolu araam na ci yéen. Ndax dangeena dëggal lenn téere ba weddi la ca des ? Kuy def loolu ci yéen, dara du doon peyam ludul toroxte ci dundug àddina, te Bis - pénc ba dees na leen delloo ci gën jaa tari mbugal, Yàlla dey nekkul Kuy ñàkka seetlu li ngeen di def."
2,NAG WA,86,"Ñooña ñooy ña jaay àllaaxira jënde ko àddina. Duñuleen woyofal mbugal ma. Te deesuleen dimbali."
2,NAG WA,87,"Bir na, ne jox Nañu Muusaa Téere ba ; ñu toxal ginnaawam ay Yonent. Te jox Nañu Iisaa doomu Maryaama ay kéemaan yu leer te dëgëral ko, ak ruu gu sell [Jibril]. Ndax saa yu leen ab Yonent dikkalee [Sant leen] lu neexul seen bakkan, ngeen rëy-rëylu ? Ngeen weddi ab kurél, rey ab kurél [ca ñoom Yonent ya]."
2,NAG WA,88,"Ñu naan : " Suñuy xol muuru na [ci li Yonent bi wax] " - Li am ba des moo di Yàlla rëbb na leen ci sababus seenug weddi, te néewaana bu ñu gëmee."
2,NAG WA,89,"[Fàttalikuleen] ba leen ab Téere dikkalee, jóge ca Yàlla, di dëggal lañu yor, - fekk lu jiitu loolu daan nañu ñaan noteel ci yéefër yi, - te ba lañu xamoon [te daan ko séenu] egsee ca ñoom, dañu koo weddi. Rëbbum Yàlla dal na yéefër yi !"
2,NAG WA,90,"Bon na, lañu jaayee seeni bakkan ! Ba tax ñu weddi la Yàlla wàcce ngir bew, te iñaan ci li Yàlla wàcce ngënéelam ci ku ko soob ciy jaamam. Ba daldi nañuy mer bay fuuñ-fuuñi, te yéefër yi am nañu mbugal muy toroxale !"
2,NAG WA,91,"Bu ñu leen waxee ne : " Gëmleen li Yàlla wàcce ", Ñu ne : " Gëm nañu li ñu wàcce ci ñun ". Te ñoom weddi nañu la ñëw ginnaawam te muy dëggal lañu yore. - Neel : " Lu taxoon ngeen rey ay Yonentiy Yàlla, ca bu jëkk ndegam gëm ngeen ? "."
2,NAG WA,92,"Wóor na céŋŋ ne Muusaa digaloon na leen àndak ay kéemaam yu leer. Ba noppi ngeen jaamu sëll wa ginnaawam, ngeen di way-tooñ."
2,NAG WA,93,"Te Fàttalikuleen, ba ñu wólleranteek yéen, te ñu yékkati doj wa mu tiim leen Ma neleen : " Jàppleen te farlu ci la Ma leen jox te ngeen dégg ndigal ! ". Ñu ne : " Dégg nañu te bañ nanu ". Nàndaleef na leen seeni xol sëll wa ngir seenug weddi. Neel : " Bon na li leen seen ngëm digal ci loolu ndegam gëm ngeen "."
2,NAG WA,94,"- Waxal ne : " Ndegam am ngeen kërug àllaaxira ca Yàlla, gu yéen doŋŋ jagoo waliis nit ñi, mébétleen dee kon ndegam ñu dëggu ngeen ! ""
2,NAG WA,95,"Duñu ko mébét mukk ngir la seen yoxo ya jëf [ci lu bon]. Yàlla ku xam la way-tooñ ña."
2,NAG WA,96,"Wóor na ne danga leen fekk ñoom [Yaxuud ya] ñu nekk di ñu gëna xér ci nit ñi ci bëgg dundu, ak ci ñiy bokkaale. [Danga ca gis] ca ñoom ku ne siiw ñu guddal fanam junniy at. Waaye du ko soreel mbugal ma! Dundu gu gu ddu googu Yàllaa ngi ne jàkk ci li ñuy def."
2,NAG WA,97,"Neel : " Ku noonu Jibriil it moom moo wàcce Alxuraan ci sa xol ci ndigalu Yàlla, muy dëggal la ko jiitu, mu di ag njub ak mbégte ci way-gëm ñi "."
2,NAG WA,98,"Neel : " Ku weddi Yàlla ba noonu ko aki Malaakaam aki Yonentam ak Jibriil ak Miikaayil, Yàlla it di ab noonam rekk "."
2,NAG WA,99,"Bir na ne, wàcce Nañu ci yaw ay kàddu yu leer nàññ, yu kenn du ko weddi kudul ab saay-saay."
2,NAG WA,100,"Moo ndax saa su ñu kóllaranteek [Yàlla] ab dëel, kurél ci ñoom firi ko? Li wér mooy li ëpp ci ñoom gëmuñu."
2,NAG WA,101,"Ba leen Yonent bu jóge ca Yàlla dikkalee di dëggal lañu yor, gaa ya ñu joxoon ab Téere, ab kurél ca ñoom sànni Téereb Yàlla bi ca seen ginnaaw mel ni dañoo xamul !"
2,NAG WA,102,"Ñu topp nag la séytaane ya doon jàng ca nguurug Suleymaan. Weddiwul de, séytaane ya ñoo weddi : Daan nañu jàngal nit ña ag njibar ak lañu wàcce woon ca ñaari Malaaka ya Xaaruut ak Maaruut ca Baabil; te daawuñu jàngal kenn te waxuñu ko ne : " ñun dey danoo ànd ak sànje : kon book bul weddi de " ; mu am ñu jàng ci ñoom loo xam ne mën nañu caa téqale jëkkër ak jabaram. Te daawuñu mëna lor kenn ca njibar googule, ludul ci coobare Yàlla. Te it jàng nañu loo xam ne daf leen di lor te mënuleena jariñ. Xam nañu xéll ne ku jënde loolu [weccee ko ak waxi Yàlla] du am benn cër ca àllaaxira. Lañu jaaye seen bakkan bon na ! Cëy bu ñu xamoon !"
2,NAG WA,103,"Bu fekkoon ne ñoom dañuy gëm, te ragal Yàlla [kon mu gën ci ñoom fuuf]. Cëy bu ñu xamoon !"
2,NAG WA,104,"Éy yéen way-gëm yi ! Buleen di wax : " sàmmoonteel ak ñun " wayee deeleen wax : " Xool ñu "; te deeleen dégg ndigal ! Mbugal mu metti mooy dal ca kaw way-weddi ña."
2,NAG WA,105,"Ña weddi ca ñoñ-téere ya ak way-bokkaale ya yéenewuñuleen, yiw wu bari ba bawoo ca seen Boroom, wàcc ci yéen, te Yàlla dana jagale yërmaandeem ku ko soob. Yàlla mooy boroom ngëneel yu màgg yi."
2,NAG WA,106,"duñu folli jenn laaya walla ñu ginnaawal ko fàtteloo ko [nit ñi], te indiwunu bu ko gën mbaa mel ni moom. Xanaa xamoo ne Yàlla mën na lu ne ?"
2,NAG WA,107,"Xanaa xamuloo ne Yàlla moo di Boroom nguurug asamaan ak suuf si, te ginnaaw Yàlla amul keneen ku mëna doon seen kiiraay mbaa seen ndimbal ?"
2,NAG WA,108,"Am dangeen bëgga laaj seen Yonent na ñu laajee woon Muusaa ca bu njëkk ? Képp ku weccee ngëm ak weddi, réer na te wàcc na yoon wu njub wa."
2,NAG WA,109,"Ñu bari ci ñoñ-téere [Yaxuud ak Nasaraan] nee nañu siiw ñu delloo leen cig kéefar ginnaaw seen ngëm ngir kiñaan gu sosoo seeni bakkan. Ginnaaw ba dëgg ga leeree nàññ ? Baal-leen te dummóoyuleen ba Yàlla agseek ndigëlam. Yàlla nag mën na lu ne !"
2,NAG WA,110,"Deeleen taxawee julli te di génne asaka. Lu ngeen jiital ci lu baax ngir seen bopp, dangeen ko fekk ca Yàlla, ndax Yàlla gu gis la li ngeen di def."
2,NAG WA,111,"Wax nañu ne : " Kenn du dugg Àjjana kudul ku nekk Yaxuud walla Nasaraan ". Loolu dey seen mébét la ño om. - Neel : " Indileen seenu lay, ndegam ñu dëggu ngeen "."
2,NAG WA,112,"Axakañ! ku wommatu ci topp Yàlla te muy rafetal, [topp, ci jëfe ndigal ak bàyyi yi Yàlla tere] kooku peyam ma nga ca Boroomam. [Ña mel ni ñoom] duñu tiit duñu jàq."
2,NAG WA,113,"Yaxuud yi wax nañu ne : " Nasraan yi nekkuñu ci dara " ; Nasraan yi itam ne : " Yaxuud yi nekkuñu ci dara ", te ñoom jàng nañu Téere ba ! Noonu la ña xamul di waxe. Yàlla dana àtte seen diggante ca lañu juuyoo bu Bis-pénc baa."
2,NAG WA,114,"Ana ku gëna tooñ kuy tere, ca jàkkay Yàlla ja, ku cay tuddu Turam te di fexe luy yàq jàkka ja ? Ñooña waruñoo dugg ca [jàkka ja] te ànduñook am tiit. Am nañu gàcce gu rëy ci àddina, te it danañu am mbugal mu rëy ca àllaaxira."
2,NAG WA,115,"Te Yàllaa moom Penku bi ak Sowu bi. Fu ngeen fi mëna jublu, kanamu Yàlla jublu na fa, ndax Yàlla ku xam la; Ku Yaatu la."
2,NAG WA,116,"Wax nañu ne : " Yàlla amna doom " ! Tudd naa ag sellam[Soreel ko lu yellul ci moom] ! Li fi nekk moo di, Moom Yàlla moo moom lépp lu nekk ci asamaan yi ak suuf si te lépp ci jaamu ko la nekk."
2,NAG WA,117,"Mooy Aji-sos asamaan yi ak suuf si ! Bu dogalee mbir du def ludul ne ko : " Nekkal ", mu nekk."
2,NAG WA,118,"Ña xamul wax nañu ne : " Lu tee woon Yàlla wax ak ñun, walla mu indil ñu keemaan " ? Noonu la ña leen jiitu woon waxee woon wax ju mel ni seen jos. Seeni xol niroo na. Leeral Nañu laaya ya ci nit ñoo xam ne wóolu lañu."
2,NAG WA,119,"Yónni nañu la ci dëgg ngay bégal [ñi gëm ci dig leen Àjjana] ; te di xupp [ñi weddi ci mbugalum Safara] te deesula laaj dara [ëllëg ca àllaaxira loo wara layoo] ci mbiri waa Safara."
2,NAG WA,120,"Yaxuud yi ak Nasaraan yi duñu bég ci yaw mukk li feek toppuloo seen diine. - Neel : " Njubug Yàlla mooy dëggi-dëggi njub ". Boo toppee seen bànneex ginnaawal lañu la digal, ci xam-xam, doo am kenn ku la mëna sàmm, walla ndimbal ci [mbugalum Yàlla]."
2,NAG WA,121,"Ña nga xam ne jox Nañu leen téere ba [Alxuraan], danañu ko jànge na mu yelle, ñooña ñoo ko gëm. Ña ko weddi ñooy way-ñàkk ña."
2,NAG WA,122,"Yéen Banii-Israayil, fàttalikuleen Sama xéewal yi Ma leen xéewale woon te Man ma defoon leen ngeen gënoon ci kaw mbindéef yépp."
2,NAG WA,123,"Ragal-leen bis boo xam ne bakkan du fa jariñ dara beneen bakkan te deesu ko nangul njotu, rammu it du ko fa jariñ. Te duñu fa am ndimbal."
