verseID,canon_order,book,chapter,startVerse,endVerse,verseText
GN1_27,002_001_027,GEN,1,27,27,"Yàlla dafa bind nit ci takkndeeram; ci takkndeeru boppam la Yàlla bind nit, góor ak jigéen la bind. "
GN1_28,002_001_028,GEN,1,28,28,"Yàlla barkeel leen ne leen: Giirleen te bare, ba fees àddina, di ko saytu; te it yilifleen jëni géej ak picci asamaan ak mboolem mbindeef muy yëngu ci kaw suuf. "
GN1_29,002_001_029,GEN,1,29,29,"Yàlla ne: Xool-leen, jox naa leen gépp gàncax gu ànd ak jiwoom ci kaw suuf sépp ak gépp garab guy meññ tey jur jiwoom, muy seen dund. "
GN1_30,002_001_030,GEN,1,30,30,"Naka rabi àll yépp it, ñook picci asamaan yépp ak lépp luy raam ci kaw suuf, te di boroom bakkan, jox naa leen lépp luy ñax mu tooy, ñoom itam, muy seen lekk. Mu daldi nekk noona. "
GN1_31,002_001_031,GEN,1,31,31,"Yàlla nag gis li mu def lépp, fekk lépp baax lool. Ngoon jot, suba dugg, muy bésub juróom benneel ba. "
GN2_1,002_002_001,GEN,2,1,1,Ci kaw loolu asamaan ak suuf ak li ñu ëmb lépp mat. 
GN2_2,002_002_002,GEN,2,2,2,"Bésub juróom ñaareel ba fekk na Yàlla matal liggéeyam. Mu dal-lu nag ca bésub juróom ñaareel ba, gannaaw ba mu liggéeyee loolu lépp. "
GN2_3,002_002_003,GEN,2,3,3,"Yàlla daldi barkeel bésub juróom ñaareel ba, def ko bés bu sell, ndax da caa dal-lu woon gannaaw liggéey, ba mu sàkke lépp. "
GN2_4,002_002_004,GEN,2,4,4,"Liy cosaanal asamaan ak suuf, ba ñu leen di sàkk, mooy lii. Bés ba Aji Sax ji Yàlla sàkkee suuf ak asamaan, "
GN2_5,002_002_005,GEN,2,5,5,"genn garab nekkagul woon ci kaw suuf, te genn gàncax saxagul; ndaxte booba Yàlla Aji Sax ji tawagul, te nit kuy bey amagul. "
GN2_6,002_002_006,GEN,2,6,6,"Ci biir loolu mbënn di balle ci suuf, di tooyal fépp. "
GN2_7,002_002_007,GEN,2,7,7,"Yàlla Aji Sax ji nag móol nit ci pëndu suuf, sol ngelawal dund ci paxi bakkanam, nit daldi doon boroom bakkan. "
GN2_8,002_002_008,GEN,2,8,8,"Naka noona Yàlla Aji Sax ji jëmbat tool ca biir Àjjana fa féete penku ba, tàbbal ca nit ka mu bind. "
GN2_9,002_002_009,GEN,2,9,9,"Yàlla Aji Sax ji nag saxal ci suuf lépp luy garab gu meññeef ma rafet te neexa lekk; mu def it garab gay taxa dund ca digg tool ba, moom ak garab gay taxa xam lu baax ak lu bon. "
GN2_10,002_002_010,GEN,2,10,10,"Amoon na dex guy balle Àjjana, di suuxat tool ba, dale fa nag, séddlikoo, def ñeenti wal. "
GN2_11,002_002_011,GEN,2,11,11,"Turu menn wal ma di dexu Pison, moo wër réewum Awila mépp. Wurus a nga woon ca réew mooma, "
GN2_12,002_002_012,GEN,2,12,12,di wurusu ngalam; te it ndàbb lu neex xet a nga fa woon ak per yu jafe yu ñuy wax onigsë. 
GN2_13,002_002_013,GEN,2,13,13,"Ñaareelu dex ga di Giyon, wër réewu Kuus mépp; "
GN2_14,002_002_014,GEN,2,14,14,"turu ñetteelu dex ga di Tiigar, féete réewum Asiri penku; ñeenteelu dex ga di Efraat. "
GN2_15,002_002_015,GEN,2,15,15,"Yàlla Aji Sax ji nag jël nit ki, tàbbal ko biir toolub Àjjana, mu di ko bey ak a sàmm. "
GN2_16,002_002_016,GEN,2,16,16,"Yàlla Aji Sax ji sant nit ki, ne ko: Man ngaa lekk ci mboolem garabi tool bi, "
GN2_17,002_002_017,GEN,2,17,17,"waaye bul lekk ci garab giy taxa xam lu baax ak lu bon, ndaxte bés boo ci lekkee kat, li wér mooy fa ngay doxe dee. "
GN2_18,002_002_018,GEN,2,18,18,"Yàlla Aji Sax ji daldi ne: Wéet baaxul ci nit, kon dinaa ko bindal ku koy jàpple te jekk ci doon wéttalam. "
GN2_19,002_002_019,GEN,2,19,19,"Loolu fekk na Yàlla Aji Sax ji sàkk ci suuf nja-àll yépp ak njanaaw yépp, daldi leen indil nit, di seet nu leen nit di tudde; te tur wu mu leen jox, muy moom. "
GN2_20,002_002_020,GEN,2,20,20,"Ba mu ko defee nit kooku, di Aadama, tudd jur gépp ak picc yépp ak rabi àll yépp, waaye fekku ca ku koy jàpple te jekk ci doon wéttalam. "
GN2_21,002_002_021,GEN,2,21,21,"Bi loolu amee Yàlla Aji Sax ji nelawloo Aadama nelaw yu xóot. Ba muy nelaw nag, mu rocci genn ciy faaram, fatte pax ma aw suux. "
GN2_22,002_002_022,GEN,2,22,22,"Yàlla Aji Sax ji bind jigéen ci faar, gi mu jële ci Aadama, indil ko ko. "
GN2_23,002_002_023,GEN,2,23,23,"Aadama ne tonet, daldi ne: Waaw kay nag, kii moo bokk ci samay yax ak sama suux! Dees na ko tudde jigéen, ndaxte ci góor lees ko jële. "
GN2_24,002_002_024,GEN,2,24,24,"Looloo tax góor di bàyyikoo ci ndeyam ak baayam, ànd ak soxnaam, ñuy wenn suux. "
GN2_25,002_002_025,GEN,2,25,25,"Ku góor ki ak soxnaam, ñoom ñaar ñépp, yaramu neen lañu defoon, te amuñu ci woon genn kersa. "
GN3_1,002_003_001,GEN,3,1,1,"Jaan nag moo gënoona muus ci rabi àll, yi Yàlla Aji Sax ji sàkk yépp. Jaan ja moo ne jigéen ja: Ndax wóor na ne Yàllaa ne: Buleen lekk ci doomi genn garabu tool bi? "
GN3_2,002_003_002,GEN,3,2,2,"Jigéen ja wax jaan ja, ne ko: Man nanoo lekk ci doomi garabi tool bi kay. "
GN3_3,002_003_003,GEN,3,3,3,"Waaye garab gi ci digg tool bi la Yàlla ne: Buleen ci lekk, buleen ko laal sax, lu ko moy ngeen dee."
GN3_4,002_003_004,GEN,3,4,4,"Jaan ja ne jigéen ja: Déedéet, dungeen dee! "
GN3_5,002_003_005,GEN,3,5,5,"Waaye Yàlla xam na ne bés bu ngeen ci lekkee, seeni bët dina ubbiku, ngeen mel ni Yàlla, xam lu baax ak lu bon. "
GN3_6,002_003_006,GEN,3,6,6,"Jigéen ja dafa gis ne garab gi rafet na, niru na lu neex, te mata bëgg ci kuy wuta am xel, mu witt ci doom yi, lekk; jox ci jëkkëram, ji mu àndal, moom it mu lekk. "
GN3_7,002_003_007,GEN,3,7,7,"Seeni bët daldi ubbiku, ñu xam ne yaramu neen lañu def. Ba mu ko defee ñu ràbb xobi garabu figg, gemboo. "
GN3_8,002_003_008,GEN,3,8,8,"Gannaaw loolu ñu dégg tànki Yàlla Aji Sax ji, muy doxantu ca tool ba, fekk ker gi sedd, ñu daldi fexee làqu Yàlla Aji Sax ji ci biir garabi tool bi. "
GN3_9,002_003_009,GEN,3,9,9,Yàlla Aji Sax ji nag ne Aadama: Ana nga? 
GN3_10,002_003_010,GEN,3,10,10,"Mu ne ko: Damaa dégg say tànk ci tool bi, tiit, ndax yaramu neen laa def, ma daldi làqu. "
GN3_11,002_003_011,GEN,3,11,11,"Yàlla Aji Sax ji ne ko: Ku la xamal ne dangaa def yaramu neen? Mbaa du dangaa lekk ca garab, ga ma la aaye, waay? "
GN3_12,002_003_012,GEN,3,12,12,"Aadama ne ko: Jigéen, ji nga ma booleel de, moo ma jox ci garab gi, ma lekk. "
GN3_13,002_003_013,GEN,3,13,13,"Yàlla Aji Sax ji ne jigéen ja: Yaw, li nga def nii mooy lan? Jigéen ja ne ko: Aa, jaan de moo ma nax, ba ma lekk ci. "
GN3_14,002_003_014,GEN,3,14,14,"Yàlla Aji Sax ji nag ne jaan ja: Gannaaw def nga loolu, yaw rekk yaay alku ci rabi kër yépp ak rabi àll yépp; dinga watatu, di lekk pënd sa giiru dund gépp. "
GN3_15,002_003_015,GEN,3,15,15,"Dinaa def mbañeel sa digganteek jigéen ji, ba dëddale sa xeet ak xeetam, muy toj sa bopp, nga di ko màtt ci téstën. "
GN3_16,002_003_016,GEN,3,16,16,"Yàlla teg ca ne jigéen ja: Dinaa taral sa metitu mat, ci metit ngay wasin. Sa bëgg-bëggu bakkan dina la xiir ci sa jëkkër, te moo lay teg tànk. "
GN3_17,002_003_017,GEN,3,17,17,"Mu tegaat ca ne Aadama: Gannaaw dégg nga sa waxu soxna, ba lekk ci garab gi ma la aaye, dinaa rëbb suuf ndax yaw; coono bu metti nga ciy dunde sa giiru dund gépp. "
GN3_18,002_003_018,GEN,3,18,18,"Suuf dina la meññalal ay dég aki dagg, doo lekk te beyoo, "
GN3_19,002_003_019,GEN,3,19,19,"saw ñaq ngay dunde, ba kera ngay dellu ci suuf, si ma la jële; ndaxte pënd nga, te dinga dellu di pënd. "
GN3_20,002_003_020,GEN,3,20,20,"Aadama nag tudde soxnaam Awa (mu firi Dund), ndax mooy ndeyu képp kuy dund. "
GN3_21,002_003_021,GEN,3,21,21,"Gannaaw gi Yàlla Aji Sax ji sàkkal Aadama ak soxnaam ay yérey der, wodde leen. "
GN3_22,002_003_022,GEN,3,22,22,"Yàlla Aji Sax ji daldi ne: Léegi nit mel na ni nun, xam lu baax ak lu bon. Kon nag bumu tàllal loxoom, di witt ci doomi garab giy taxa dund, di lekk, bay dund fàww. "
GN3_23,002_003_023,GEN,3,23,23,"Ba loolu amee Yàlla Aji Sax ji génne ko toolub Àjjana, muy bey suuf, si ñu ko sàkke. "
GN3_24,002_003_024,GEN,3,24,24,"Da koo dàq, ba noppi teg ca penkub toolu Àjjana ba ay malaakay serub, boole ca saamar buy xuyy-xuyyi, tey dem ak a dikk, di wattu yoon, wa jëm ca garab gay taxa dund. "
GN4_1,002_004_001,GEN,4,1,1,"Gannaaw loolu Aadama dëkkoo na soxnaam Awa, mu ëmb, am Kayin, mu ne: Am naa doom ju góor ci ndimbalu Aji Sax ji. "
GN4_2,002_004_002,GEN,4,2,2,"Awa teg ca rakkam, Abel. Abel di sàmm, Kayin di bey. "
GN4_3,002_004_003,GEN,4,3,3,"Ñu dem ba mu yàgg, Kayin sàkk ci mbeyam, jébbal ko Aji Sax ji, màggale ko ko. "
GN4_4,002_004_004,GEN,4,4,4,"Abel moom jébbal ko nebbonu jur, ga jëkka juddu ca géttam. Aji Sax ji nangul Abel, "
GN4_5,002_004_005,GEN,4,5,5,"te nangulul Kayin. Kayin nag mer lool, ba ne fóññ. "
GN4_6,002_004_006,GEN,4,6,6,"Aji Sax ji ne Kayin: Lu la taxa mer, ba ne fóññ nii? "
GN4_7,002_004_007,GEN,4,7,7,"Soo defee lu baax, dees na la nangul; soo deful lu baax, bàkkaar a ngi lay yeeru ci sa bunt, di la tërook a wut, waaye yaa ko wara man. "
GN4_8,002_004_008,GEN,4,8,8,"Ci kaw loolu Kayin séq ak rakkam Abel wax. Ba mu ko defee ñu dem ca àll ba, Kayin dal ci kaw Abel, bóom ko. "
GN4_9,002_004_009,GEN,4,9,9,Aji Sax ji ne Kayin: Ana sa rakk Abel? Mu ne ko: Gisuma ko de; xanaa maa wara sàmm sama rakk? 
GN4_10,002_004_010,GEN,4,10,10,"Yàlla ne ko: Loo def? Sa deretu rakk jaa ngi yuuxoo ci suuf, ma di ci dégg. "
GN4_11,002_004_011,GEN,4,11,11,"Léegi dinga alku, ba suuf dummóoyu la, moom mi ubbi gémmiñam, naan sa deretu rakk, ji nga tuur. "
GN4_12,002_004_012,GEN,4,12,12,"Boo beyee, dootu nangu. Dinga dëkke daŋ-daŋ, di wëreelu ci àddina. "
GN4_13,002_004_013,GEN,4,13,13,"Teewul Kayin wax Aji Sax ji ne ko: Sama mbugal diis na lool, ba àttanuma ko! "
GN4_14,002_004_014,GEN,4,14,14,"Ndegam tey jii danga maa dàq, xañ ma sa jataay, dinaa dëkke daŋ-daŋ, di wëreelu ci kaw suuf, te kon ku ma gis rey ma. "
GN4_15,002_004_015,GEN,4,15,15,"Aji Sax ji ne ko: Kon nag ku la rey, yaw Kayin, dina jot juróom ñaari yoon lu ko raw. Ba loolu amee mu sàkkal Kayin màndarga, ba ku ko gis du ko rey. "
GN4_16,002_004_016,GEN,4,16,16,"Kayin daldi bàyyikoo ca Aji Sax ji, dem dëkki réewu Nódd, fa féete Àjjana penku. "
GN4_17,002_004_017,GEN,4,17,17,"Gannaaw loolu Kayin dëkkoo na soxnaam, mu ëmb, am Enog. Ci biir loolu Kayin sanc ab dëkk, dippee ko doomam ju góor Enog. "
GN4_18,002_004_018,GEN,4,18,18,Enog jur Iraat; Iraat jur Mexuyayel; Mexuyayel jur Metusayel; Metusayel jur Lemeg. 
GN4_19,002_004_019,GEN,4,19,19,"Lemeg nag jël ñaari jabar, aawo bi tudd Ada, ñaareel bi di Silla. "
GN4_20,002_004_020,GEN,4,20,20,"Ada taawloo Yabal, miy cosaanu sàmm yiy màngaan, "
GN4_21,002_004_021,GEN,4,21,21,"teg ca Yubal, miy cosaanu ñi mane xalam ak toxoro. "
GN4_22,002_004_022,GEN,4,22,22,Silla moom jur Tubal Kayin miy tëgg lépp luy jumtukaayu xànjar ak weñ. Tubal Kayin am na jigéen bu tudd Naama. 
GN4_23,002_004_023,GEN,4,23,23,"Lemeg nag ne ay soxnaam: Dégluleen maa, yeen soxnay Lemeg, teeyluleen maa, yeen Ada ak Silla. Nit a ma gaañ, ma bóom, goneg jàmbaar dóor ma, ma faat. "
GN4_24,002_004_024,GEN,4,24,24,"Kayin kay, lees di feyul juróom ñaari yoon, ne, bu dee Lemeg mii, muy juróom ñaar fukki yoon ak juróom ñaar. "
GN4_25,002_004_025,GEN,4,25,25,"Bi loolu wéyee Aadama dëkkoo soxnaam, mu am doom ju góor; tudde ko Set (mu firi May), ndax da ne: Yàlla may na ma weneen askan, mu wuutu Abel, mi Kayin rey. "
GN4_26,002_004_026,GEN,4,26,26,"Set it, am doom ju góor, tudde ko Enos. Fan yooya lañu tàmbalee tudd Aji Sax ji, di ko wormaal. "
GN5_1,002_005_001,GEN,5,1,1,"Ni téere indee askanu Aadama nii la. Ba Yàlla di sàkk nit, da koo bind ci melokaanam, "
GN5_2,002_005_002,GEN,5,2,2,"góor ak jigéen la sàkk, barkeel leen, tudde leen Nit, keroog ba mu leen sàkkee. "
GN5_3,002_005_003,GEN,5,3,3,"Aadama dund téeméeri at ak fanweer (130), jur doom ju góor, mu bindoo melokaanam te nirook moom. Mu tudde ko Set. "
GN5_4,002_005_004,GEN,5,4,4,"Set juddu na, Aadama dundaat juróom ñetti téeméeri at (800), amaat ay doom yu góor ak yu jigéen. "
GN5_5,002_005_005,GEN,5,5,5,"Kon Aadama dund na juróom ñeenti téeméeri at ak fanweer (930), doora faatu. "
GN5_6,002_005_006,GEN,5,6,6,"Set moomee am na téeméeri at ak juróom (105), doora jur Enos. "
GN5_7,002_005_007,GEN,5,7,7,"Enos juddu na, Set dundaat juróom ñetti téeméeri at ak juróom ñaar (807), amaat doom yu góor ak yu jigéen. "
GN5_8,002_005_008,GEN,5,8,8,"Kon Set dund na juróom ñeenti téeméeri at ak fukk ak ñaar (912), doora faatu. "
GN5_9,002_005_009,GEN,5,9,9,"Enos nag am na juróom ñeent fukki at (90), doora jur Kenan. "
GN5_10,002_005_010,GEN,5,10,10,"Kenan juddu na, Enos dundaat juróom ñetti téeméeri at ak fukk ak juróom (815), amaat doom yu góor ak yu jigéen. "
GN5_11,002_005_011,GEN,5,11,11,"Kon Enos dund na juróom ñeenti téeméeri at ak juróom (905), doora faatu. "
GN5_12,002_005_012,GEN,5,12,12,"Kenan moomee am na juróom ñaar fukki at (70), doora jur Malaleel. "
GN5_13,002_005_013,GEN,5,13,13,"Malaleel juddu na, Kenan dundaat juróom ñetti téeméeri at ak ñeent fukk (840), amaat ay doom yu góor ak yu jigéen. "
GN5_14,002_005_014,GEN,5,14,14,"Kon Kenan dund na juróom ñeenti téeméeri at ak fukk (910), doora faatu. "
GN5_15,002_005_015,GEN,5,15,15,"Malaleel nag am na juróom benn fukki at ak juróom (65), doora jur Yeredd. "
GN5_16,002_005_016,GEN,5,16,16,"Yeredd juddu na, Malaleel dundaat juróom ñetti téeméeri at ak fanweer (830), amaat ay doom yu góor ak yu jigéen. "
GN5_17,002_005_017,GEN,5,17,17,"Kon Malaleel dund na juróom ñetti téeméeri at ak juróom ñeent fukk ak juróom (895), doora faatu. "
GN5_18,002_005_018,GEN,5,18,18,"Yeredd moomee am na téeméeri at ak juróom benn fukk ak ñaar (162), doora jur Enog. "
GN5_19,002_005_019,GEN,5,19,19,"Enog juddu na, Yeredd dundaat juróom ñetti téeméeri at (800), amaat ay doom yu góor ak yu jigéen. "
GN5_20,002_005_020,GEN,5,20,20,"Kon Yeredd dund na juróom ñeenti téeméeri at ak juróom benn fukk ak ñaar (962), doora faatu. "
GN5_21,002_005_021,GEN,5,21,21,"Enog moomee, am na juróom benn fukki at ak juróom (65), doora jur Matusalem. "
GN5_22,002_005_022,GEN,5,22,22,"Matusalem juddu na, ba noppi Enog topp Yàlla ñetti téeméeri at (300), amaat ay doom yu góor ak yu jigéen. "
GN5_23,002_005_023,GEN,5,23,23,Kon Enog dund na ñetti téeméeri at ak juróom benn fukk ak juróom (365). 
GN5_24,002_005_024,GEN,5,24,24,"Enog dafa topp Yàlla, ba jekki-jekki giseesatu ko, ndaxte Yàllaa ko yéege fa moom. "
GN5_25,002_005_025,GEN,5,25,25,"Matusalem moomee am na téeméeri at ak juróom ñett fukk ak juróom ñaar (187), doora jur Lemeg. "
GN5_26,002_005_026,GEN,5,26,26,"Lemeg juddu na, Matusalem dundaat juróom ñaar téeméeri at ak juróom ñett fukk ak ñaar (782), amaat ay doom yu góor ak yu jigéen. "
GN5_27,002_005_027,GEN,5,27,27,"Kon Matusalem dund na juróom ñeenti téeméeri at ak juróom benn fukk ak juróom ñeent (969), doora faatu. "
GN5_28,002_005_028,GEN,5,28,28,"Lemeg nag am na téeméeri at ak juróom ñett fukk ak ñaar (182), doora jur doom ju góor. "
GN5_29,002_005_029,GEN,5,29,29,"Mu tudde ko Nóoyin (mu firi Noflaay) ndax dafa ne: Kii moo nuy taxa noyyiwaat, noppal nu ci liggéey yu metti ak coonoy mbeyu suuf, si Aji Sax ji rëbb. "
GN5_30,002_005_030,GEN,5,30,30,"Nóoyin juddu na, Lemeg dundaat juróomi téeméeri at ak juróom ñeent fukk ak juróom (595), amaat ay doom yu góor ak yu jigéen. "
GN5_31,002_005_031,GEN,5,31,31,"Kon Lemeg dund na juróom ñaar téeméeri at ak juróom ñaar fukk ak juróom ñaar (777), doora faatu. "
GN5_32,002_005_032,GEN,5,32,32,"Nóoyin moomee am na juróomi téeméeri at (500), doora jur Sem ak Xam ak Yafet. "
GN6_1,002_006_001,GEN,6,1,1,"Bi nga xamee ne nit ñi tàmbali nañoo fulandiwu ci kaw suuf, te am ay doom yu jigéen, "
GN6_2,002_006_002,GEN,6,2,2,"ay goney Yàlla ñoo gis jigéen ñeek seen taar, ñuy jël ñi ñu bëgg ci ñoom, def leeni jabar. "
GN6_3,002_006_003,GEN,6,3,3,"Aji Sax ji daldi wax ne: Manumaa bàyyi nit, muy wéyee dunde noo, gi ma ko may, ndax nit du dara lu dul suuxi neen, kon dinaa leen àppal diirub téeméeri at ak ñaar fukk (120). "
GN6_4,002_006_004,GEN,6,4,4,"Ca jamono yooya ak itam gannaaw ba goney Yàlla yooyu àndeek jigéeni àddina, ba am ca ay doom, aw xeetu ponkal wu ñuy wax Nefilim moo nekkoon ci àddina. Ñooy ponkal ya woon te doonoon góor ñu amoon tur. "
GN6_5,002_006_005,GEN,6,5,5,"Aji Sax ji dafa gis ne mbonu nit màgg na lool ci biir àddina, te fu mu mana tollu, lu bon rekk lay xinte ci xolam. "
GN6_6,002_006_006,GEN,6,6,6,"Aji Sax ji nag am tiis ci xolam, ba mititlu li mu doon sàkk nit ci kaw suuf. "
GN6_7,002_006_007,GEN,6,7,7,"Aji Sax ji daldi ne: Dinaa far ci kaw suuf doom aadama yi ma sàkk, nit ak jur, luy raam ak luy naaw, ndax mititlu naa li ma leen sàkk. "
GN6_8,002_006_008,GEN,6,8,8,Waaye fekk na Aji Sax ji xool Nóoyin bëti yërmande. 
GN6_9,002_006_009,GEN,6,9,9,"Askanu Nóoyin mooy lii. Nóoyin nit ku jub la woon, di ku mat ci biir nit ñi mu bokkal jamono, te di ku topp Yàlla. "
GN6_10,002_006_010,GEN,6,10,10,"Nóoyin nag amoon na ñetti doom yu góor: seeni tur di Sem, Xam ak Yafet. "
GN6_11,002_006_011,GEN,6,11,11,"Booba fekk na àddina yàqu, te fees ak ay, Yàlla teg ci bëtam. "
GN6_12,002_006_012,GEN,6,12,12,"Yàlla gis ne àddina yàqu na, ndaxte jëfi ñépp a bokk ñaaw fi kaw suuf. "
GN6_13,002_006_013,GEN,6,13,13,"Ba mu ko defee Yàlla ne Nóoyin: Dogal naa ne dinaa boole faat mboolem boroom bakkan, ndaxte ayu nit dajal na kaw suuf. Dinaa leen boole ak li ci àddina, faagaagal. "
GN6_14,002_006_014,GEN,6,14,14," Yaw nag wutal dénku sippar, yettal ci sa bopp gaal gu mag; nga sàkk ci ay néeg, te diw ko koltaar biir ak biti. "
GN6_15,002_006_015,GEN,6,15,15,"Ni nga koy defare nii la. Na guddaayu gaal gi di ñetti téeméeri xasab, yaatuwaay bi di juróom fukki xasab, taxawaay bi di fanweeri xasab. "
GN6_16,002_006_016,GEN,6,16,16,"Yettal mbaar, mu ko tiim, te nga àggle gaal gi, bàyyi lu tollook xasab diggante kéméj yi ak mbaar mi. Sàkkal ko bunt ci wet gi, te séddale ko ñetti néeg yu tegloo, benn ci suuf, benn ci digg bi ak benn ci kaw. "
GN6_17,002_006_017,GEN,6,17,17," Maa ngi nii di indi mbënnu ndox ci kaw suuf, mu far lépp luy dund lu asamaan tiim; te lépp lu nekk ci kaw suuf dina dee. "
GN6_18,002_006_018,GEN,6,18,18,"Waaye dinaa fas kóllëre ak yaw, nga dugg ci gaal gi, yaak say doom ak sa soxna ak say soxnay doom. "
GN6_19,002_006_019,GEN,6,19,19,"Te xeeti rab yépp nanga ci dugal ñaar ci gaal gi, wu ci nekk, nga def ko góor ak jigéen; su ko defee ngeen ànd mucc. "
GN6_20,002_006_020,GEN,6,20,20,"Xeetu picc wu ci nekk ak xeetu bàyyima wu ci nekk ak wépp xeetu rab wuy raam ci suuf, dina def ñaar, ñëw ci yaw, ba raw. "
GN6_21,002_006_021,GEN,6,21,21,"Sàkkal ci bépp xeetu dund, denc, ngeen bokk dunde. "
GN6_22,002_006_022,GEN,6,22,22,"Noonu la Nóoyin def. Lépp lu ko Yàlla sant, def na ko. "
GN7_1,002_007_001,GEN,7,1,1,"Gannaaw ba loolu amee Aji Sax ji dafa wax Nóoyin ne ko: Duggal ci gaal gu mag gi, yaak sa njaboot gépp, ndaxte niti jamono jii, yaw rekk laa ci gis, nga jub ni ma ko bëgge. "
GN7_2,002_007_002,GEN,7,2,2,"Xeeti rab yu set yépp yóbbaale ci juróom ñaar yu góor ak juróom ñaar yu jigéen, ak ñaar ci xeeti rab yi setul, te ñuy góor ak jigéen. "
GN7_3,002_007_003,GEN,7,3,3,"Te it xeetu picc mu nekk yóbbaale ci juróom ñaar yu góor ak juróom ñaar yu jigéen, ngir seen xeet baña fey ci kaw suuf. "
